id,chart,claude_nd_score,claude_smog_index,claude_gunning_fog_index,claude_flesch_kincaid_grade,claude_coleman_liau_index,claude_dictionary_confidence,claude_verification_supported_rate,claude_verification_supported_claims,claude_verification_contradicted_claims,claude_verification_insufficient_claims,claude_verification_total_claims,claude_word_count,claude_sentence_count,claude_words_per_number,claude_total_number_mentions,claude_numeric_token_count,claude_number_word_count,claude_polysyllabic_word_count,claude_total_syllables,claude_total_characters,claude_overview_and_main_message,claude_chart_structure,claude_relevant_patterns_trends_and_comparisons,claude_essential_key_details,gemini_nd_score,gemini_smog_index,gemini_gunning_fog_index,gemini_flesch_kincaid_grade,gemini_coleman_liau_index,gemini_dictionary_confidence,gemini_verification_supported_rate,gemini_verification_supported_claims,gemini_verification_contradicted_claims,gemini_verification_insufficient_claims,gemini_verification_total_claims,gemini_word_count,gemini_sentence_count,gemini_words_per_number,gemini_total_number_mentions,gemini_numeric_token_count,gemini_number_word_count,gemini_polysyllabic_word_count,gemini_total_syllables,gemini_total_characters,gemini_overview_and_main_message,gemini_chart_structure,gemini_relevant_patterns_trends_and_comparisons,gemini_essential_key_details,chatgpt_nd_score,chatgpt_smog_index,chatgpt_gunning_fog_index,chatgpt_flesch_kincaid_grade,chatgpt_coleman_liau_index,chatgpt_dictionary_confidence,chatgpt_verification_supported_rate,chatgpt_verification_supported_claims,chatgpt_verification_contradicted_claims,chatgpt_verification_insufficient_claims,chatgpt_verification_total_claims,chatgpt_word_count,chatgpt_sentence_count,chatgpt_words_per_number,chatgpt_total_number_mentions,chatgpt_numeric_token_count,chatgpt_number_word_count,chatgpt_polysyllabic_word_count,chatgpt_total_syllables,chatgpt_total_characters,chatgpt_overview_and_main_message,chatgpt_chart_structure,chatgpt_relevant_patterns_trends_and_comparisons,chatgpt_essential_key_details
01195,Evolució de salut per període,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0.0,6.796772,,8.716364,13.641818,97.727273,0.0,0,0,5,5,88,11,,0,0,0,20,158,496,This chart tracks multi-year patient care indicators. The core message is the static behavior of health metrics regardless of the passing years.,This is a Clustered Column chart. The X-axis defines the tracking years. The Y-axis defines the volume in thousands of patients.,Static behavior is evident across all plotted series. There is no evidence of escalating or diminishing returns. The visual presentation is highly standardized.,Minimum metric floors are never breached. Maximum metric ceilings are never broken. The general average represents the persistent state of the data.,,,,,,,,0,0,0,0,,,,,,,,,,,,,
01197,Indicadors de operacions per categoria,11.538462,9.849458,16.441958,11.952448,16.412821,82.692308,88.888889,8,1,0,9,156,11,8.666667,18,18,0,42,291,910,This chart displays a operations indicator measured in milers de comandes across 5 categories. The highest value is found in Devolucions (87.3 milers de comandes) and the lowest in Expedició (82.7 milers de comandes).,"This is a Clustered Bar chart. The X-axis represents 5 categories: Recepció, Preparació, Expedició, Qualitat, Devolucions. The Y-axis represents values in milers de comandes, ranging from 82.7 to 87.3. As a horizontal bar chart, categories are listed along the vertical axis, with bar length indicating the magnitude of values.","Values range from 82.7 to 87.3 milers de comandes, a spread of 4.6, with Devolucions at the top and Expedició at the bottom. The mean (84.0) exceeds the median (83.1), suggesting a slight skew from higher values. Variability is low (coefficient of variation: 0.02), meaning categories show broadly similar values.","The overall minimum value is 82.7 milers de comandes and the maximum is 87.3 milers de comandes. The global average across all 5 data points is 84.0 milers de comandes, with a median of 83.1 and a standard deviation of 1.9.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,7.729469,9.2956,14.795362,11.111807,14.125217,83.574879,75.0,9,0,3,12,207,15,12.9375,16,15,1,48,374,1129,"This clustered bar chart presents operations indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category values are tightly clustered, with only a narrow spread. Across all plotted values, the minimum is 82.7 milers de comandes, the maximum is 87.3 milers de comandes, and the overall average is 84.0 milers de comandes.","This is a clustered bar chart. In the metadata, the X-axis shows categories from Recepció to Devolucions across 5 entries, and the Y-axis shows the measured values in milers de comandes, from 82.7 to 87.3. It includes one series, ""Valor"". The chart is designed to compare category values for the subject covered by the title.","The highest category is ""Devolucions"" at 87.3 milers de comandes, and the lowest is ""Expedició"" at 82.7 milers de comandes. The overall spread is 4.6 milers de comandes, which indicates a very tight level of variation. The summary identifies 1 outlier value in the series.","The smallest plotted value is 82.7 milers de comandes. The largest plotted value is 87.3 milers de comandes. The overall average value is 84.0 milers de comandes. The lowest category or period is ""Expedició"" at 82.7 milers de comandes, and the highest is ""Devolucions"" at 87.3 milers de comandes."
01199,Indicadors de vendes per categoria,11.917098,9.647589,15.47214,12.516062,17.455751,91.19171,54.545455,6,4,1,11,193,13,8.391304,23,22,1,46,365,1157,"This chart compares sales indicators across 12 categories, broken down by three geographical regions: Nord, Centre, Sud. The category with the highest average is Export (49.5 M€), while E-commerce has the lowest (47.2 M€).","This is a Clustered Bar chart. The X-axis represents 12 categories: Botiga física, E-commerce, Distribuïdor, Marketplace, Canal telefònic, Direct-to-consumer, Franquícia, Subscripció, Export, Licitació, Majorista, Flash sale. The Y-axis represents values in M€, ranging from 37.7 to 58.9. Each category is subdivided into 3 data series (Nord, Centre, Sud), representing geographical regions. As a horizontal bar chart, categories are listed along the vertical axis, with bar length indicating the magnitude of values.","Across all categories, the Sud series consistently records the highest values (average: 56.5 M€), followed by Centre (48.5 M€) and Nord (39.7 M€). The spread across categories is relatively narrow (2.3 M€), indicating a fairly uniform distribution across categories. Overall variability is low with a coefficient of variation of 0.15 across all 36 data points.","The overall minimum value is 37.7 M€ and the maximum is 58.9 M€. The global average across all 36 data points is 48.2 M€, with a median of 48.0 and a standard deviation of 7.1. By geographical regions, averages are: Sud at 56.5, Centre at 48.5, and Nord at 39.7 M€.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,8.62069,7.836983,12.006897,9.036552,12.572414,93.534483,40.0,6,3,6,15,232,16,11.6,20,20,0,36,373,1200,"This clustered bar chart presents sales indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category averages are moderate in spread, with ""Export"" highest, ""E-commerce"" lowest, and ""Sud"" has the highest average and ""Nord"" the lowest. Across all plotted values, the minimum is 37.7 M€, the maximum is 58.9 M€, and the overall average is 48.2 M€.","This is a clustered bar chart. In the metadata, the X-axis shows categories from Botiga física to Flash sale across 12 entries, and the Y-axis shows the measured values in M€, from 37.7 to 58.9. It includes 3 series: ""Nord"", ""Centre"", and ""Sud"". The chart is designed to compare category values for the subject covered by the title.","The highest category average across series is ""Export"" at 49.5 M€, and the lowest is ""E-commerce"" at 47.2 M€. Across series, ""Sud"" has the highest average at 56.5 M€, while ""Nord"" has the lowest at 39.7 M€. Variation is widest in ""Distribuïdor"" with a within-category range of 21.0 M€, and narrowest in ""Flash sale"" at 13.7 M€.","The smallest plotted value is 37.7 M€. The largest plotted value is 58.9 M€. The overall average value is 48.2 M€. The category with the highest average is ""Export"" at 49.5 M€, while the lowest average is ""E-commerce"" at 47.2 M€. By series average, ""Sud"" is highest at 56.5 M€ and ""Nord"" is lowest at 39.7 M€."
01200,Indicadors de salut per categoria,,,,,,,,0,0,0,0,,,,,,,,,,,,,,7.317073,7.599022,,10.341663,15.72439,97.560976,0.0,0,0,7,7,82,11,13.666667,6,5,1,25,160,495,This chart provides insight into the relative proportional scaling of health services. The main message is the visualization of full capacity allocation.,This is a 100% Stacked Column chart. The X-axis categorizes health services. The Y-axis measures volume from 0.0 to 100.0%.,Capacity is allocated directly to hit the top axis limit. Some specific categories hold a baseline zero value. The visual weight highlights proportional dominance.,Minimum values sit exactly at 0.0%. Maximum values hit the 100.0% boundary. The mean represents the distribution of the percentage weights.,,,,,,,,0,0,0,0,,,,,,,,,,,,,
01202,Indicadors de demografia per categoria,10.747664,10.058307,15.93041,12.610374,17.18729,81.308411,54.545455,6,5,0,11,214,13,9.304348,23,22,1,50,395,1266,"This chart compares demographics indicators across 8 categories, broken down by three gender groups: Homes, Dones, No especificat. The category with the highest average is Migració (445.2 milers de persones), while Dependència has the lowest (426.8 milers de persones).","This is a Clustered Bar chart. The X-axis represents 8 categories: Infància, Joventut, Adults, Sèniors, Dependència, Migració, Habitatge, Emancipació. The Y-axis represents values in milers de persones, ranging from 352.7 to 523.5. Each category is subdivided into 3 data series (Homes, Dones, No especificat), representing gender groups. As a horizontal bar chart, categories are listed along the vertical axis, with bar length indicating the magnitude of values.","Across all categories, the No especificat series consistently records the highest values (average: 509.1 milers de persones), followed by Dones (432 milers de persones) and Homes (366.9 milers de persones). There is a moderate spread of 18.4 milers de persones between categories, with Migració and Dependència at the extremes. Overall variability is low with a coefficient of variation of 0.14 across all 24 data points.","The overall minimum value is 352.7 milers de persones and the maximum is 523.5 milers de persones. The global average across all 24 data points is 436.0 milers de persones, with a median of 430.4 and a standard deviation of 60.3. By gender groups, averages are: No especificat at 509.1, Dones at 432, and Homes at 366.9 milers de persones.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,7.407407,9.774435,15.046296,11.837917,15.156148,80.37037,40.0,6,5,4,15,270,16,13.5,20,20,0,56,477,1502,"This clustered bar chart presents demography indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category averages are moderate in spread, with ""Migració"" highest, ""Dependència"" lowest, and ""No especificat"" has the highest average and ""Homes"" the lowest. Across all plotted values, the minimum is 352.7 milers de persones, the maximum is 523.5 milers de persones, and the overall average is 436.0 milers de persones.","This is a clustered bar chart. In the metadata, the X-axis shows categories from Infància to Emancipació across 8 entries, and the Y-axis shows the measured values in milers de persones, from 352.7 to 523.5. It includes 3 series: ""Homes"", ""Dones"", and ""No especificat"". The chart is designed to compare category values for the subject covered by the title.","The highest category average across series is ""Migració"" at 445.2 milers de persones, and the lowest is ""Dependència"" at 426.8 milers de persones. Across series, ""No especificat"" has the highest average at 509.1 milers de persones, while ""Homes"" has the lowest at 366.9 milers de persones. Variation is widest in ""Sèniors"" with a within-category range of 169.3 milers de persones, and narrowest in ""Adults"" at 112.4 milers de persones.","The smallest plotted value is 352.7 milers de persones. The largest plotted value is 523.5 milers de persones. The overall average value is 436.0 milers de persones. The category with the highest average is ""Migració"" at 445.2 milers de persones, while the lowest average is ""Dependència"" at 426.8 milers de persones. By series average, ""No especificat"" is highest at 509.1 milers de persones and ""Homes"" is lowest at 366.9 milers de persones."
01205,Indicadors de vendes per categoria,12.105263,9.647589,15.530364,12.53,17.485684,91.578947,54.545455,6,3,2,11,190,13,8.26087,23,22,1,46,361,1141,"This chart compares sales indicators across 10 categories, broken down by three geographical regions: Nord, Centre, Sud. The category with the highest average is Marketplace (50.1 M€), while Licitació has the lowest (47.9 M€).","This is a Clustered Bar chart. The X-axis represents 10 categories: Botiga física, E-commerce, Distribuïdor, Marketplace, Canal telefònic, Direct-to-consumer, Franquícia, Subscripció, Export, Licitació. The Y-axis represents values in M€, ranging from 39.4 to 59.4. Each category is subdivided into 3 data series (Nord, Centre, Sud), representing geographical regions. As a horizontal bar chart, categories are listed along the vertical axis, with bar length indicating the magnitude of values.","Across all categories, the Sud series consistently records the highest values (average: 57.6 M€), followed by Centre (48.2 M€) and Nord (40.9 M€). The spread across categories is relatively narrow (2.2 M€), indicating a fairly uniform distribution across categories. Overall variability is low with a coefficient of variation of 0.15 across all 30 data points.","The overall minimum value is 39.4 M€ and the maximum is 59.4 M€. The global average across all 30 data points is 48.9 M€, with a median of 48.0 and a standard deviation of 7.1. By geographical regions, averages are: Sud at 57.6, Centre at 48.2, and Nord at 40.9 M€.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,8.733624,7.945085,12.187882,9.211962,13.123843,93.449782,40.0,6,1,8,15,229,16,11.45,20,20,0,37,373,1207,"This clustered bar chart presents sales indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category averages are moderate in spread, with ""Marketplace"" highest, ""Licitació"" lowest, and ""Sud"" has the highest average and ""Nord"" the lowest. Across all plotted values, the minimum is 39.4 M€, the maximum is 59.4 M€, and the overall average is 48.9 M€.","This is a clustered bar chart. In the metadata, the X-axis shows categories from Botiga física to Licitació across 10 entries, and the Y-axis shows the measured values in M€, from 39.4 to 59.4. It includes 3 series: ""Nord"", ""Centre"", and ""Sud"". The chart is designed to compare category values for the subject covered by the title.","The highest category average across series is ""Marketplace"" at 50.1 M€, and the lowest is ""Licitació"" at 47.9 M€. Across series, ""Sud"" has the highest average at 57.6 M€, while ""Nord"" has the lowest at 40.9 M€. Variation is widest in ""Export"" with a within-category range of 18.7 M€, and narrowest in ""E-commerce"" at 13.9 M€.","The smallest plotted value is 39.4 M€. The largest plotted value is 59.4 M€. The overall average value is 48.9 M€. The category with the highest average is ""Marketplace"" at 50.1 M€, while the lowest average is ""Licitació"" at 47.9 M€. By series average, ""Sud"" is highest at 57.6 M€ and ""Nord"" is lowest at 40.9 M€."
01208,Indicadors de demografia per categoria,10.599078,10.2575,16.262177,12.888664,17.544147,80.645161,54.545455,6,5,0,11,217,13,9.434783,23,22,1,52,404,1296,"This chart compares demographics indicators across 10 categories, broken down by three gender groups: Homes, Dones, No especificat. The category with the highest average is Habitatge (451.4 milers de persones), while Dependència has the lowest (423.2 milers de persones).","This is a Clustered Bar chart. The X-axis represents 10 categories: Infància, Joventut, Adults, Sèniors, Dependència, Migració, Habitatge, Emancipació, Diversitat, Nova ciutadania. The Y-axis represents values in milers de persones, ranging from 363.1 to 520. Each category is subdivided into 3 data series (Homes, Dones, No especificat), representing gender groups. As a horizontal bar chart, categories are listed along the vertical axis, with bar length indicating the magnitude of values.","Across all categories, the No especificat series consistently records the highest values (average: 497.2 milers de persones), followed by Dones (441.2 milers de persones) and Homes (374.9 milers de persones). There is a moderate spread of 28.2 milers de persones between categories, with Habitatge and Dependència at the extremes. Overall variability is low with a coefficient of variation of 0.12 across all 30 data points.","The overall minimum value is 363.1 milers de persones and the maximum is 520 milers de persones. The global average across all 30 data points is 437.8 milers de persones, with a median of 441.6 and a standard deviation of 51.9. By gender groups, averages are: No especificat at 497.2, Dones at 441.2, and Homes at 374.9 milers de persones.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,7.380074,9.774435,15.040683,11.872452,15.215498,80.073801,40.0,6,5,4,15,271,16,13.55,20,20,0,56,479,1510,"This clustered bar chart presents demography indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category averages are moderate in spread, with ""Habitatge"" highest, ""Dependència"" lowest, and ""No especificat"" has the highest average and ""Homes"" the lowest. Across all plotted values, the minimum is 363.1 milers de persones, the maximum is 520.0 milers de persones, and the overall average is 437.8 milers de persones.","This is a clustered bar chart. In the metadata, the X-axis shows categories from Infància to Nova ciutadania across 10 entries, and the Y-axis shows the measured values in milers de persones, from 363.1 to 520.0. It includes 3 series: ""Homes"", ""Dones"", and ""No especificat"". The chart is designed to compare category values for the subject covered by the title.","The highest category average across series is ""Habitatge"" at 451.4 milers de persones, and the lowest is ""Dependència"" at 423.2 milers de persones. Across series, ""No especificat"" has the highest average at 497.2 milers de persones, while ""Homes"" has the lowest at 374.9 milers de persones. Variation is widest in ""Sèniors"" with a within-category range of 140.5 milers de persones, and narrowest in ""Joventut"" at 97.7 milers de persones.","The smallest plotted value is 363.1 milers de persones. The largest plotted value is 520.0 milers de persones. The overall average value is 437.8 milers de persones. The category with the highest average is ""Habitatge"" at 451.4 milers de persones, while the lowest average is ""Dependència"" at 423.2 milers de persones. By series average, ""No especificat"" is highest at 497.2 milers de persones and ""Homes"" is lowest at 374.9 milers de persones."
01217,Indicadors de operacions per categoria,9.947644,9.631027,15.371902,11.869856,16.573613,82.722513,72.727273,8,1,2,11,191,12,10.052632,19,18,1,43,344,1112,"This chart displays a operations indicator measured in milers de comandes across 12 categories. The highest value is found in Preparació (68.3 milers de comandes) and the lowest in Qualitat (62.2 milers de comandes). Although presented in a stacked format, the chart contains a single data series, so each bar represents one total value per category.","This is a Stacked Bar chart. The X-axis represents 12 categories: Recepció, Preparació, Expedició, Qualitat, Devolucions, Aprovisionament, Atenció al client, Facturació, Planificació, Transport, Magatzem, Retorn. The Y-axis represents values in milers de comandes, ranging from 62.2 to 68.3. As a Stacked Bar chart, the values for each series are stacked horizontally within each bar, so the bar length reflects the cumulative total.","Values range from 62.2 to 68.3 milers de comandes, a spread of 6.1, with Preparació at the top and Qualitat at the bottom. The median (66.7) exceeds the mean (66.1), suggesting a slight skew from lower values. Variability is low (coefficient of variation: 0.03), meaning categories show broadly similar values.","The overall minimum value is 62.2 milers de comandes and the maximum is 68.3 milers de comandes. The global average across all 12 data points is 66.1 milers de comandes, with a median of 66.7 and a standard deviation of 1.9.",5.633803,9.852459,17.40939,13.622183,19.007606,92.253521,42.857143,3,0,4,7,142,12,17.75,8,4,4,45,296,901,"This chart evaluates the cumulative volume of operational tasks across an expanded set of departments. The main takeaway is the perfectly distributed workload, displaying near-identical processing volumes across every single phase of the supply chain.","This is a Stacked Bar chart detailing order volumes. The X-axis lists twelve operational phases, from ""Recepció"" through ""Transport"", ""Magatzem"", to ""Retorn"". The Y-axis tracks the cumulative volume in thousands of orders, with an extremely narrow total range from 62.2 to 68.3. It visualizes a single series named ""Valor"".","All departments process a practically identical volume of orders. ""Preparació"" and ""Aprovisionament"" share the peak maximums of the dataset. ""Qualitat"" processes the marginally lowest volume, though the difference is statistically negligible.","The minimum operational value is 62.2 thousand orders. The maximum operational value is 68.3 thousand orders. The operational average is exceptionally close to the median, reflecting zero deviation within individual categories.",7.537688,8.945452,14.127925,10.588747,13.792764,82.914573,72.727273,8,0,3,11,199,14,13.266667,15,14,1,42,348,1072,"This stacked bar chart presents operations indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category values are tightly clustered, with only a narrow spread. Across all plotted values, the minimum is 62.2 milers de comandes, the maximum is 68.3 milers de comandes, and the overall average is 66.1 milers de comandes.","This is a stacked bar chart. In the metadata, the X-axis shows categories from Recepció to Retorn across 12 entries, and the Y-axis shows the measured values in milers de comandes, from 62.2 to 68.3. It includes one series, ""Valor"". The chart is designed to compare category values for the subject covered by the title.","The highest category is ""Preparació"" at 68.3 milers de comandes, and the lowest is ""Qualitat"" at 62.2 milers de comandes. The overall spread is 6.1 milers de comandes, which indicates a very tight level of variation.","The smallest plotted value is 62.2 milers de comandes. The largest plotted value is 68.3 milers de comandes. The overall average value is 66.1 milers de comandes. The lowest category or period is ""Qualitat"" at 62.2 milers de comandes, and the highest is ""Preparació"" at 68.3 milers de comandes."
01220,Indicadors de salut per categoria,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0.0,8.461913,,11.03287,15.094831,94.382022,0.0,0,0,9,9,89,11,,0,0,0,31,177,523,This chart displays health metric allocations by medical specialty. The main insight is the top-tier dominance of primary and emergency services.,This is a Clustered Column chart. The X-axis is allocated to medical specialties. The Y-axis is allocated to thousands of patients.,"Primary and emergency services represent the top-tier allocations. All other specialties represent a much lower, secondary tier. Transitions between the tiers are sharp, not gradual.",Minimum allocations define the secondary tier. Maximum allocations define the top tier. The average is heavily influenced by the top-tier data points.,,,,,,,,0,0,0,0,,,,,,,,,,,,,
01225,Evolució de salut per període,,,,,,,,0,0,0,0,,,,,,,,,,,,,,5.376344,7.749512,,9.530929,13.63957,96.774194,0.0,0,0,8,8,93,11,18.6,5,3,2,26,172,521,This chart provides an ongoing yearly measure of relative healthcare percentages. The core message is the persistent structural bounds of the percentage data.,This is a 100% Stacked Column chart. The X-axis indicates chronological years. The Y-axis indicates the percentage limit up to 100%.,The operational numbers fluctuate between absolute zero and total capacity. The bounds of the data are permanent and fixed. Visual uniformity is dictated by the chart style bounds.,Minimums act as a permanent zero baseline. Maximums act as a permanent 100% cap. The global average is defined by active versus inactive years.,,,,,,,,0,0,0,0,,,,,,,,,,,,,
01232,Indicadors de salut per categoria,10.0,7.771725,12.22807,10.396579,15.010947,84.210526,72.727273,8,1,2,11,190,12,10.0,19,18,1,28,319,1056,"This chart displays a health indicator measured in milers de pacients across 4 categories. The highest value is found in Atenció primària (241.2 milers de pacients) and the lowest in Diagnòstic (229.7 milers de pacients). Although presented in a stacked format, the chart contains a single data series, so each bar represents one total value per category.","This is a Stacked Bar chart. The X-axis represents 4 categories: Atenció primària, Urgències, Hospitalització, Diagnòstic. The Y-axis represents values in milers de pacients, ranging from 229.7 to 241.2. As a Stacked Bar chart, the values for each series are stacked horizontally within each bar, so the bar length reflects the cumulative total.","Values range from 229.7 to 241.2 milers de pacients, a spread of 11.5, with Atenció primària at the top and Diagnòstic at the bottom. The mean (235.3) and median (235.2) are close, suggesting a roughly symmetric distribution. Variability is low (coefficient of variation: 0.02), meaning categories show broadly similar values.","The overall minimum value is 229.7 milers de pacients and the maximum is 241.2 milers de pacients. The global average across all 4 data points is 235.3 milers de pacients, with a median of 235.2 and a standard deviation of 5.0.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,7.211538,7.038244,10.942857,9.71967,13.445192,82.211538,72.727273,8,0,3,11,208,14,13.866667,15,14,1,26,344,1105,"This stacked bar chart presents health indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category values are tightly clustered, with only a narrow spread. Across all plotted values, the minimum is 229.7 milers de pacients, the maximum is 241.2 milers de pacients, and the overall average is 235.3 milers de pacients.","This is a stacked bar chart. In the metadata, the X-axis shows categories from Atenció primària to Diagnòstic across 4 entries, and the Y-axis shows the measured values in milers de pacients, from 229.7 to 241.2. It includes one series, ""Valor"". The chart is designed to compare category values for the subject covered by the title.","The highest category is ""Atenció primària"" at 241.2 milers de pacients, and the lowest is ""Diagnòstic"" at 229.7 milers de pacients. The overall spread is 11.5 milers de pacients, which indicates a very tight level of variation.","The smallest plotted value is 229.7 milers de pacients. The largest plotted value is 241.2 milers de pacients. The overall average value is 235.3 milers de pacients. The lowest category or period is ""Diagnòstic"" at 229.7 milers de pacients, and the highest is ""Atenció primària"" at 241.2 milers de pacients."
01242,Indicadors de web analytics per categoria,8.273381,10.048832,15.568756,13.377307,17.16446,78.417266,46.153846,6,5,2,13,278,14,12.086957,23,22,1,53,500,1629,"This chart compares web analytics indicators across 3 categories, broken down by three engagement levels: Rebot baix, Navegació mitjana, Conversió. The category with the highest average is Programa de fidelització mitjançant email segmentat (564.4 milers de sessions), while Promoció de temporada en xarxes socials has the lowest (553.4 milers de sessions). In this stacked format, the values for each series are layered cumulatively, so the total bar length represents the combined value across all groups.","This is a Stacked Bar chart. The X-axis represents 3 categories: Campanya de captació de leads B2B per cercadors, Programa de fidelització mitjançant email segmentat, Promoció de temporada en xarxes socials. The Y-axis represents values in milers de sessions, ranging from 437.9 to 671.6. Each category is subdivided into 3 data series (Rebot baix, Navegació mitjana, Conversió), representing engagement levels. As a Stacked Bar chart, the values for each series are stacked horizontally within each bar, so the bar length reflects the cumulative total.","Across all categories, the Conversió series consistently records the highest values (average: 663.5 milers de sessions), followed by Navegació mitjana (560.0 milers de sessions) and Rebot baix (454.4 milers de sessions). There is a moderate spread of 11.1 milers de sessions between categories, with Programa de fidelització mitjançant email segmentat and Promoció de temporada en xarxes socials at the extremes. Overall variability is low with a coefficient of variation of 0.16 across all 9 data points.","The overall minimum value is 437.9 milers de sessions and the maximum is 671.6 milers de sessions. The global average across all 9 data points is 559.3 milers de sessions, with a median of 560.7 and a standard deviation of 91.4. By engagement levels, averages are: Conversió at 663.5, Navegació mitjana at 560.0, and Rebot baix at 454.4 milers de sessions.",,,,,,,,0,0,0,0,,,,,,,,,,,,,,6.024096,9.686771,14.926506,12.83262,15.503133,77.710843,40.0,6,5,4,15,332,16,16.6,20,20,0,55,572,1848,"This stacked bar chart presents web analytics indicators by category. Its purpose is to compare values on the categories or periods listed in the metadata and, where relevant, across the available series. The main takeaway is that category averages are wide in spread, with ""Programa de fidelització mitjançant email segmentat"" highest, ""Promoció de temporada en xarxes socials"" lowest, and ""Conversió"" has the highest average and ""Rebot baix"" the lowest. Across all plotted values, the minimum is 437.9 milers de sessions, the maximum is 671.6 milers de sessions, and the overall average is 559.3 milers de sessions.","This is a stacked bar chart. In the metadata, the X-axis shows categories from Campanya de captació de leads B2B per cercadors to Promoció de temporada en xarxes socials across 3 entries, and the Y-axis shows the measured values in milers de sessions, from 437.9 to 671.6. It includes 3 series: ""Rebot baix"", ""Navegació mitjana"", and ""Conversió"". The chart is designed to compare category values for the subject covered by the title.","The largest combined category total is ""Programa de fidelització mitjançant email segmentat"" with a category sum of 1693.3 milers de sessions, while ""Promoció de temporada en xarxes socials"" has the smallest combined total at 1660.1 milers de sessions. Across series, ""Conversió"" has the highest average at 663.5 milers de sessions, while ""Rebot baix"" has the lowest at 454.4 milers de sessions. Variation is widest in ""Campanya de captació de leads B2B per cercadors"" with a within-category range of 233.7 milers de sessions, and narrowest in ""Programa de fidelització mitjançant email segmentat"" at 195.4 milers de sessions.","The smallest plotted value is 437.9 milers de sessions. The largest plotted value is 671.6 milers de sessions. The overall average value is 559.3 milers de sessions. The category with the highest average is ""Programa de fidelització mitjançant email segmentat"" at 564.4 milers de sessions, while the lowest average is ""Promoció de temporada en xarxes socials"" at 553.4 milers de sessions. By series average, ""Conversió"" is highest at 663.5 milers de sessions and ""Rebot baix"" is lowest at 454.4 milers de sessions."
01245,Evolució de salut per període,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0.0,8.324311,,10.672864,13.323441,97.849462,0.0,0,0,2,2,93,11,,0,0,0,30,181,516,This chart shows an annual review of selected health statistics. The main takeaway is the enduring stability of the statistics over the review period.,This is a Clustered Column chart. The X-axis covers the annual review period. The Y-axis covers the statistical volume in thousands of patients.,"Enduring stability is the hallmark of the dataset. The relationship ratios of the separate series are maintained indefinitely. The columns present a level, unified front.",Minimum bounds are highly predictable. Maximum bounds are equally reliable. The mathematical mean is an accurate summary of the entire chart.,,,,,,,,0,0,0,0,,,,,,,,,,,,,
01250,Indicadors de salut per categoria,,,,,,,,0,0,0,0,,,,,,,,,,,,,,3.296703,8.324311,,11.755045,16.483516,95.604396,0.0,0,0,9,9,91,11,30.333333,3,2,1,30,186,555,This chart categorizes health metric output proportionally by department. The main insight is the clear distinction in weight between active and non-active categories.,This is a 100% Stacked Column chart. The X-axis is populated by health categories. The Y-axis is quantified in percentages up to 100%.,Active categories push completely to the upper limit. Non-active categories remain unrepresented at the bottom axis. Mid-level percentages are relatively absent in this view.,Minimum footprints signify zero percentage share. Maximum footprints signify total percentage saturation. Averages are heavily weighted by the binary nature of the data.,,,,,,,,0,0,0,0,,,,,,,,,,,,,
01270,Indicadors de salut per categoria,,,,,,,,0,0,0,0,,,,,,,,,,,,,,0.0,7.44549,,9.81572,16.823333,94.791667,0.0,0,0,3,3,96,11,,0,0,0,24,179,588,This chart compares patient processing volumes by healthcare division. The primary message is the heavy concentration of processing in frontline divisions.,This is a Clustered Column chart. The X-axis lists the healthcare divisions. The Y-axis quantifies the processing volume in thousands of patients.,"Frontline divisions account for the vast majority of the volume. Backline and specific divisions account for a small, consistent fraction. The distribution is starkly polarized.","Lowest volumes are found in the specialized, backline divisions. Highest volumes are found in the generalized, frontline divisions. Sector averages are pulled up significantly by the frontline extremes.",,,,,,,,0,0,0,0,,,,,,,,,,,,,
